"Fish_Type,Pond_Size,Feed_Cost,Labor_Cost,Temperature,Rainfall,Season,Market_Price_per_kg,Yield_kg,Total_Cost,Revenue,Profit"
"2,3.6825738544102937,13191,17866,25.961722353486373,160.5916332756047,0,236,2477,31057,584572,553515"
"0,1.1864256931141761,43160,6088,27.704165698164868,60.61747731413329,1,199,2815,49248,560185,510937"
"2,3.0932976207506595,35000,8363,23.800357550894923,221.15654856624158,0,245,1050,43363,257250,213887"
"1,3.2302177087228516,49040,5024,34.81489388511878,275.67637761133903,2,108,1978,54064,213624,159560"
"1,2.408588020860737,13631,14764,24.372436113855844,259.3157517846272,1,161,1815,28395,292215,263820"
"0,3.813999060311253,16172,11144,31.561137963583278,81.84236836197027,2,128,2087,27316,267136,239820"
"2,4.704651566460567,33561,16150,26.412434755351388,81.56778427693297,2,224,2322,49711,520128,470417"
"2,4.665058308080494,34817,10668,23.0932610762621,253.35862058106602,1,213,2324,45485,495012,449527"
"0,2.5287771713185947,30281,9236,31.995781459472916,281.06356865077896,1,242,1664,39517,402688,363171"
"2,1.0095712062833986,38671,14959,25.004101835435648,165.16745745837227,0,233,813,53630,189429,135799"
"2,4.931785395330506,35364,17935,32.977900210967164,174.7427792284415,0,219,683,53299,149577,96278"
"1,4.275041389006704,37425,13068,33.728857773767345,129.56551034643147,2,178,2187,50493,389286,338793"
"2,1.0609820654147009,38602,7235,32.89735753086914,273.5662795641035,1,192,1212,45837,232704,186867"
"2,4.643788471778175,33253,12295,20.525118722102086,211.225726323089,1,103,2675,45548,275525,229977"
"0,4.414533629279577,33472,13392,31.810600175076583,122.06289429184213,0,181,1810,46864,327610,280746"
"0,2.8347712570673247,18080,16390,26.17009199748716,124.6957177635629,2,174,2933,34470,510342,475872"
"1,3.1607394608521817,17099,13448,33.105843802733375,272.8000182659006,2,113,770,30547,87010,56463"
"2,2.2955121674155863,35431,8747,29.56931394027108,53.408505976455366,0,230,2294,44178,527620,483442"
"2,0.746427374699141,41186,17834,32.504647012159374,130.68164318165958,1,213,1310,59020,279030,220010"
"2,2.0083875874065544,40111,15433,27.49147654800253,188.58917030409225,0,161,2962,55544,476882,421338"
"1,4.112840518691051,49851,8175,28.025382568983993,87.05436552483116,0,205,697,58026,142885,84859"
"1,0.5208441035207129,32614,16798,22.165814482005008,73.02468854989745,0,163,1579,49412,257377,207965"
"0,2.000746272610149,36724,16528,31.759810380340333,253.81908277264,0,201,1726,53252,346926,293674"
"1,2.291759121159245,14940,9897,26.290844175004572,273.60109716212685,1,205,2144,24837,439520,414683"
"2,2.918280213220653,38758,10037,27.50120177407374,255.90160519954736,0,119,1127,48795,134113,85318"
"2,4.639350273857422,46224,12427,31.776465711435613,274.6969724343369,1,157,1103,58651,173171,114520"
"1,2.0585569746468257,17788,13605,28.982681001191587,188.27799276459288,0,211,1661,31393,350471,319078"
"2,2.0612894085330247,38082,7014,23.016480911640013,253.06453024758548,2,156,1945,45096,303420,258324"
"2,3.818755616493868,34034,6381,28.853489887263393,146.0106595977751,1,218,1580,40415,344440,304025"
"1,2.534980734004132,45479,6098,26.114492869694836,216.56696536975963,2,196,2085,51577,408660,357083"
"1,1.510721703229919,21280,8426,27.04288313065794,297.2088828472911,0,191,2618,29706,500038,470332"
"2,2.53597782259712,28052,8655,20.42466911604002,106.43193095978185,0,151,1410,36707,212910,176203"
"2,1.1338565917090992,26531,12938,23.150440242744224,147.47493657277016,0,136,1093,39469,148648,109179"
"2,1.293741439278005,32804,14101,24.215571220715425,170.0118443275214,1,107,1895,46905,202765,155860"
"0,2.7426549773276587,38903,5187,30.694400117882086,84.50387175501294,2,143,1099,44090,157157,113067"
"0,2.3851645227704656,20142,17236,20.17238709947173,70.25965261626419,1,197,1013,37378,199561,162183"
"0,4.61680655480645,19866,16948,26.13165891843698,257.4307165804061,1,232,2395,36814,555640,518826"
"1,2.130772546024849,14531,15207,33.86040305638599,294.1985932068966,0,217,2631,29738,570927,541189"
"0,3.1126475762511956,48098,10409,21.678209248236858,151.18126595741467,2,168,1566,58507,263088,204581"
"1,3.3451892956378866,48278,7092,27.746365823279167,71.91245904866332,0,144,2457,55370,353808,298438"
"1,0.5589250546475013,38138,16836,31.797835735862705,66.45294017264412,1,236,1309,54974,308924,253950"
"0,3.4859181740751977,37065,7130,34.137969612801754,272.82955159007463,0,131,2680,44195,351080,306885"
"0,1.3011618509138814,39956,10242,31.20164959300577,165.95356243191998,2,132,1588,50198,209616,159418"
"0,4.824816428612548,49261,13549,30.80848322966609,130.00682914059797,0,225,789,62810,177525,114715"
"2,1.1689822748890082,20759,10647,32.39732135293644,169.1153178098499,2,166,2923,31406,485218,453812"
"0,2.365808556771607,15439,10185,26.693018314663156,129.57602367308684,2,129,1268,25624,163572,137948"
"2,0.8840735063538974,38270,10776,32.087667989267494,172.258943826905,0,213,970,49046,206610,157564"
"1,4.985934133306763,23279,15614,20.119466071181765,264.8890992294842,1,128,2696,38893,345088,306195"
"2,2.759877546490592,49279,17449,33.868415830652076,198.0753427655239,0,230,587,66728,135010,68282"
"0,3.179232577940197,33888,12913,26.64959764275763,223.66344320254385,1,129,2943,46801,379647,332846"
"1,0.8018441482479237,27630,12547,28.300702817986213,141.16766905858412,1,236,1289,40177,304204,264027"
"1,3.8748221167963,45144,12823,23.823233733723235,234.6264696276297,0,229,2164,57967,495556,437589"
"1,1.444575168930136,41182,12355,31.13796249260632,216.65427121984308,1,161,1809,53537,291249,237712"
"2,4.541244302483212,35538,11465,21.149537097128732,79.8904994380141,1,102,1364,47003,139128,92125"
"0,1.4231283821690321,21824,17737,33.08953703820253,193.16071327889614,0,167,1793,39561,299431,259870"
"1,1.3580947429864996,42125,6497,32.421752435095144,114.18587407743951,0,124,523,48622,64852,16230"
"1,0.664473505316427,16979,18324,23.240901743671497,251.0239174083982,0,240,2386,35303,572640,537337"
"1,2.6243012529949965,36189,19519,32.13986597427893,156.48442711673488,1,143,810,55708,115830,60122"
"2,3.041785099681774,22504,15350,31.79536599592222,298.6710412991218,2,154,1984,37854,305536,267682"
"2,0.7956888774275857,30669,19238,29.483248966309233,73.12510948474095,1,236,1731,49907,408516,358609"
"0,3.9898742751275478,16910,7555,25.602802653495313,245.08696568503964,2,229,2985,24465,683565,659100"
"2,2.5397997563661243,44964,10409,24.072481312728016,218.42543338553912,0,140,1205,55373,168700,113327"
"1,2.8597562119741102,30131,15534,23.476753854340252,241.87470764767636,2,163,1859,45665,303017,257352"
"0,2.4834323612220266,35227,7951,24.779134441454108,126.88244887261408,0,130,921,43178,119730,76552"
"1,2.303433773938967,15978,6238,33.55337665148795,173.01362234560014,0,146,2273,22216,331858,309642"
"1,3.0183814908869806,31991,14165,21.16461163983172,249.1271299309271,2,229,2868,46156,656772,610616"
"2,1.1985811066882062,27153,9727,32.433069143794384,108.13533290521374,0,195,1446,36880,281970,245090"
"0,1.31867658722872,43548,8965,25.233351125627355,106.50829919716301,2,176,1686,52513,296736,244223"
"2,4.378035294560828,49071,10686,27.823990940170372,187.7627383237331,0,209,2334,59757,487806,428049"
"2,4.757519579601348,13983,14242,31.917284504727363,180.89089488246395,1,168,2064,28225,346752,318527"
"0,2.1798919232588885,19503,8701,33.26564820534457,120.5656176032332,1,157,1348,28204,211636,183432"
"1,1.718351029145992,39921,7780,25.171721301089704,124.5189126312057,0,205,2089,47701,428245,380544"
"1,3.397997944575571,26905,12398,26.927652219126657,119.46129080164137,0,143,1818,39303,259974,220671"
"0,2.339303769941434,33953,6588,26.21774097225188,242.8780154996219,2,173,2589,40541,447897,407356"
"1,0.6142386004715519,36806,17070,20.198765502558658,212.97521639061515,1,155,2447,53876,379285,325409"
"0,1.2026866881478566,32168,7368,24.43914333287985,258.10429585256315,2,226,1808,39536,408608,369072"
"0,3.721875029813289,14583,10789,26.887838505988427,293.86825707850545,0,129,886,25372,114294,88922"
"2,3.465157738595681,48714,5436,26.166404133206598,168.5410740679966,0,170,2535,54150,430950,376800"
"0,0.6219319662656757,49896,7828,30.82893841273519,66.67347035136221,2,217,1661,57724,360437,302713"
"2,1.4988747286982724,21889,6556,25.772054258316548,62.02307760300886,0,154,2525,28445,388850,360405"
"1,1.5398365846463213,37413,12570,27.340646734560053,123.91625981790479,1,166,1215,49983,201690,151707"
"1,3.5235173461942777,22275,18364,26.44412888198545,283.1361473381127,2,240,2978,40639,714720,674081"
"1,0.5886974198946386,12461,17050,31.109392233415555,180.8032637427187,1,102,925,29511,94350,64839"
"1,0.9684886189305824,24291,12480,32.94458598480444,117.94662902003229,1,125,1939,36771,242375,205604"
"2,4.0996223841793515,21435,14496,27.978336185112713,149.7916986277549,1,156,2573,35931,401388,365457"
"1,1.3034509792445013,37935,19366,31.841482912927866,199.6487768511677,2,225,884,57301,198900,141599"
"0,3.437357485333436,43453,15576,24.45180023029776,213.23741453446056,0,152,555,59029,84360,25331"
"0,1.5718225147102693,28544,5182,28.12054415235903,88.47987744572626,1,142,605,33726,85910,52184"
"0,0.9474862674170532,22258,12190,25.178449305049586,294.257919136294,1,148,1169,34448,173012,138564"
"2,1.5942748594975433,40841,11687,26.213013883577453,186.1930567456972,1,141,875,52528,123375,70847"
"1,3.750201193350466,20736,10565,30.98620797219003,83.92207944806982,0,110,1242,31301,136620,105319"
"1,4.350634106478286,47643,12241,33.22493723499069,273.4088133365334,0,202,1466,59884,296132,236248"
"1,4.235989390551462,44964,12651,21.82243086631648,68.6596077698572,2,197,807,57615,158979,101364"
"2,2.2873258832830468,38044,10575,29.519588847310708,276.9338582943782,0,245,2638,48619,646310,597691"
"0,3.5063831145679076,49933,6589,28.73215711366698,299.1414140722456,2,184,1301,56522,239384,182862"
"0,1.4224293293711945,25997,14779,21.77622558763898,225.10794978912597,2,199,609,40776,121191,80415"
"1,1.8191647861745597,24215,13851,23.178414956601635,242.61180526849745,2,203,2164,38066,439292,401226"
"0,4.5335111833450386,43069,5159,24.665037420990203,134.3257091168716,2,145,839,48228,121655,73427"
"0,0.5585086557983121,33911,17145,22.50396606226252,285.39421318348343,2,143,2088,51056,298584,247528"
"2,0.8847883888451064,27030,11555,23.655942237865126,182.42849152709192,1,121,1478,38585,178838,140253"
"2,1.435488148157123,39334,14203,24.014011982925613,233.09711164938872,0,213,2903,53537,618339,564802"
"2,0.6193949174321887,24571,13244,25.035107495585894,281.02692897781986,1,224,2415,37815,540960,503145"
"2,1.316459457904088,38927,19743,31.240856792017386,293.7949939938771,2,223,667,58670,148741,90071"
"1,3.1236870243636146,30714,18333,28.578683057759008,258.30108914916855,0,129,1056,49047,136224,87177"
"2,2.3964104776662407,33387,18341,34.79370007927102,125.7543767455075,1,107,1404,51728,150228,98500"
"0,4.517022699846387,38444,11846,26.221037404512067,291.6368791380206,1,197,604,50290,118988,68698"
"1,4.178496027822984,29921,7307,31.307976107553877,207.02988281089296,2,156,2547,37228,397332,360104"
"0,2.038178082640442,23057,6228,33.07202632064801,282.66061908798997,1,210,2697,29285,566370,537085"
"0,1.6674054504408162,34858,12226,30.18467739557063,219.02625645358796,1,172,645,47084,110940,63856"
"0,2.208615836752701,36062,10590,26.17797110626244,126.80974046193012,1,214,1373,46652,293822,247170"
"2,3.156327241316635,46850,11919,31.303919461186297,142.506131035704,1,119,798,58769,94962,36193"
"2,1.7062863837029432,30567,10585,23.05500706659027,187.6179442757351,1,124,2236,41152,277264,236112"
"1,3.3086700853211033,39739,14227,24.913282477701987,247.5037103899705,2,118,1145,53966,135110,81144"
"1,2.342352434860582,13754,16894,28.20027882648933,129.49563783508373,2,104,1137,30648,118248,87600"
"2,2.984212313833911,37044,11046,28.631140809292226,194.93279153354803,1,174,2786,48090,484764,436674"
"0,2.462569381108925,11724,17237,20.33212213208944,136.40624839410037,2,227,1283,28961,291241,262280"
"1,1.8250959179386295,11376,9945,34.17671283134013,253.9423511587768,2,171,1396,21321,238716,217395"
"2,4.768039881329705,18706,12927,30.44940906826085,166.6820234419876,0,139,870,31633,120930,89297"
"2,3.936226073718924,18894,17641,27.435556253478367,69.18070671322131,1,125,986,36535,123250,86715"
"2,1.1305092909490364,28037,18386,33.99690851612463,91.51313037038409,2,126,2537,46423,319662,273239"
"0,4.4081058915406075,28450,12016,26.586433478762427,65.27616690490808,2,182,2712,40466,493584,453118"
"2,2.6934403921228114,26406,19027,34.706533554055575,174.8257365035813,1,227,1860,45433,422220,376787"
"2,4.525485021023411,39725,12758,27.684271358652275,76.58432433705678,0,132,691,52483,91212,38729"
"2,4.099348651762918,15926,18752,21.714286549969692,78.53499232740802,1,196,1229,34678,240884,206206"
"2,2.4134607701115502,49019,10086,31.47201458688916,285.26206500959427,0,210,2761,59105,579810,520705"
"1,0.6011118874405283,19496,14456,30.18346587616761,268.16376804401386,1,115,1456,33952,167440,133488"
"1,1.7090481172322574,46068,12161,31.594800819583803,163.0216492028415,1,122,880,58229,107360,49131"
"2,2.937353965973901,39806,6884,34.27163043088522,296.45133021255145,1,234,1297,46690,303498,256808"
"0,3.3506519892176625,32663,6809,31.64733953976527,50.04663204266578,1,125,738,39472,92250,52778"
"1,1.6604945844494103,46495,8167,29.170049033249704,203.49486406834845,0,195,1605,54662,312975,258313"
"2,1.1271023333277086,32656,16989,32.85963353541261,204.10704434296753,0,111,1886,49645,209346,159701"
"1,4.257186065596846,35860,15533,30.09869659031797,164.36076396747205,2,171,2749,51393,470079,418686"
"1,4.929809813165985,26832,11352,26.121785852388847,149.23699323357323,1,232,2027,38184,470264,432080"
"0,2.865605820362086,48787,16606,33.284296463626596,163.8457838701519,0,205,2167,65393,444235,378842"
"2,1.2725567863173657,31727,18399,23.328506911765594,153.7401090199201,0,216,536,50126,115776,65650"
"2,1.7253829693371603,39545,14009,30.719619123630864,232.62311937057484,0,125,2496,53554,312000,258446"
"0,0.5827580444636002,12520,19087,33.22345182411135,83.83885874332101,1,232,1925,31607,446600,414993"
"0,4.614344629522246,13081,11056,30.969747795549445,99.40980514778254,2,121,1990,24137,240790,216653"
"2,1.029879873005635,44196,7437,30.459131285807853,95.12955709810589,0,112,1724,51633,193088,141455"
"2,3.094324139814141,46735,11468,31.28957441107754,115.61764628031614,1,206,2522,58203,519532,461329"
"0,1.733248493092427,49213,14080,26.975828724509665,181.31460469539581,0,122,2941,63293,358802,295509"
"1,2.9938010113210702,24566,10951,33.11256023235539,77.80218683455467,0,196,1332,35517,261072,225555"
"1,3.431391747583389,24042,10276,23.051547127041367,267.04232383162605,2,117,1096,34318,128232,93914"
"0,4.233838116682407,35498,13859,21.91079624000509,124.34038282711808,0,216,2940,49357,635040,585683"
"1,1.4288957229227144,21329,12818,24.282631701777674,90.63449686717696,0,129,1199,34147,154671,120524"
"0,0.5494812289631621,41656,9728,27.973660951624897,218.90532739956083,1,125,2146,51384,268250,216866"
"1,1.1159853353096327,12159,7624,27.65842693114007,59.52157514982982,1,243,2518,19783,611874,592091"
